,Base,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Base_
correct,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,14,35,25,67,85,85,97,84,94,107,114,117,131,128,138,138,144,166
nonword,0,164,166,166,166,166,166,166,166,162,164,166,166,166,163,163,166,166,160,166,166,162,150,156,143,120,125,57,53,56,49,69,54,40,37,31,23,18,6,8,1,0
noresponse,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
generalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,3,3,0,2,2,1,0,0,0,1,0,0,0
thematic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,5,7,5,2,1,4,6,4,3,3,5,4,7,0
phonological,0,0,0,0,2,6,2,1,8,12,1,1,2,4,7,3,3,2,8,6,3,8,9,39,36,38,55,34,25,36,25,29,26,19,22,20,12,19,7,11,4,0
taxonomic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,7,13,18,13,14,8,17,14,13,14,11,16,19,17,16,0
unrelated,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,3,0,0,6,0,0,4,5,1,7,6,9,28,8,10,6,5,1,5,2,4,1,4,2,3,5,0
