,Base,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Base_
correct,166,0,0,0,0,1,21,1,26,22,56,45,36,8,38,1,81,122,121,144,135,150,150,156,155,158,159,156,158,160,159,158,162,159,161,161,162,160,163,159,156,166
nonword,0,4,162,166,166,163,137,6,139,139,84,52,71,61,120,164,63,15,12,0,0,0,0,1,1,1,2,1,1,1,0,1,1,1,0,0,0,0,0,2,1,0
noresponse,0,133,4,0,0,2,6,159,0,4,9,41,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generalization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thematic,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,3,4,7,7,7,5,3,1,4,1,2,2,2,1,2,3,1,2,3,3,1,2,1,1,1,0
phonological,0,4,5,5,0,39,45,0,2,3,14,10,29,15,30,15,9,9,16,4,7,4,3,3,3,3,2,2,2,0,0,2,0,1,1,0,1,0,1,1,2,0
taxonomic,0,0,0,0,0,0,0,0,1,0,5,6,11,3,4,0,11,22,22,19,25,13,15,9,9,6,4,7,6,4,4,6,2,6,5,5,3,6,3,5,8,0
unrelated,0,29,0,0,0,0,2,0,0,1,12,22,48,94,2,1,11,6,11,3,6,3,1,0,1,1,1,2,1,1,3,1,1,0,0,0,1,0,0,0,1,0
